Date,Clicks,Impressions,CTR,Position
2026-04-13,0,0,,
2026-04-14,3,9,33.33%,1
2026-04-15,0,8,0%,21.6
2026-04-16,0,6,0%,1
2026-04-17,0,1,0%,1
2026-04-18,0,1,0%,1
2026-04-19,0,17,0%,1
2026-04-20,0,30,0%,7.5
2026-04-21,1,154,0.65%,13.4
2026-04-22,3,204,1.47%,13.2
2026-04-23,5,262,1.91%,16.7
2026-04-24,2,436,0.46%,10.9
2026-04-25,7,503,1.39%,10.7
2026-04-26,7,749,0.93%,10.2
2026-04-27,14,1134,1.23%,9.3
2026-04-28,26,1679,1.55%,8.9
